Actor,Followers,Is_In_IMDB,Score
Tim Pigott-Smith,,0,
Joaquín Cosio,290439,0,
Glenn Foster,4604,0,
Stana Katic,607332,0,
Lucrezia Lante della Rovere,71576,0,
Neil Jackson,28903,0,
Oona Chaplin,108872,0,
Rachel McDowall,274,0,
Gustavo Nanez,333,0,
Mark Wakeling,1057,0,
Sarah Hadland,36203,0,
David Decio,463,0,
Aaron King,886,0,
Alexandra Prusa,511,0,
Brandon Jovanovich,2282,0,
Alexandre Krawetz,3487,0,
Fernando Guillén Cuervo,9949,0,
Jesús Ochoa,48813,0,
Simon Kassianides,30506,0,
Brendan O'Hea,,0,
Alex Norton,998,0,
Dermot Keaney,256,0,
Clive Ashborn,,0,
Christopher Adamson,,0,
Jonathan Linsley,,0,
John Boswall,,0,
Max Baker,,0,
Steve Speirs,,0,
Luke de Woolfson,,0,
Jonathan Kite,,0,
Armie Hammer,,0,
William Fichtner,,0,
James Badge Dale,,0,
Tom Wilkinson,,0,
Ruth Wilson,,0,
Barry Pepper,,0,
James Frain,,0,
Mason Cook,,0,
Matt O'Leary,7343,0,
Leon Rippy,89,0,
Harry Treadaway,2122,0,
Damon Herriman,11780,0,
W. Earl Brown,,0,
Gil Birmingham,,0,
Saginaw Grant,,0,
Stephen Brodie,,0,
Matthew Page,,0,
Bryant Prince,,0,
JD Cullum,,0,
Timothy V. Murphy,,0,
Damon Carney,,0,
Kevin Wiggins,,0,
Chad Brummett,,0,
Robert Baker,,0,
Lew Temple,,0,
Stephen Root,,0,
Randy Oglesby,,0,
Brad Greenquist,,0,
Rance Howard,593982,0,
Leonard Earl Howze,1762,0,
Travis Hammer,160,0,
Steve Corona,1036,0,
Jack Axelrod,120,0,
Christopher Hagen,176,0,
Freda Foh Shen,43,0,
Margaret Bowman,361,0,
Luz P. Mendez,69,0,
Laina Loucks,462,0,
Devon J. Adams,2706,0,
